title,description
Europa Europa (Hitlerjunge Salomon),Visionary explicit conglomeration
Zombeavers,Multi-channelled background hub
Black Robe,Innovative heuristic archive
Operación Cannabis,Integrated radical flexibility
Escobar: Paradise Lost,Front-line leading edge capability
Cocaine Cowboys,Customizable multimedia approach
Arsenic and Old Lace,Multi-channelled empowering knowledge base
Son of Frankenstein,Organized foreground emulation
Rings,Function-based directional moderator
Saints and Soldiers: Airborne Creed,Quality-focused stable encoding
"United States of Leland, The",Multi-tiered discrete circuit
Blood & Donuts,Focused radical frame
Reconstituirea (Reconstruction),Centralized contextually-based infrastructure
Assisted Living,Front-line holistic definition
Wreckers,Cross-group disintermediate attitude
March of the Wooden Soldiers (a.k.a. Babes in Toyland),Profit-focused optimizing approach
"Mariachi, El",Upgradable local collaboration
"Art of Dying, The (El Arte de Morir)",Progressive intangible help-desk
"Householder, The (Gharbar)",Future-proofed eco-centric framework
Fallen Angels (Duo luo tian shi),Exclusive high-level structure
"Mighty Macs, The",Enterprise-wide next generation toolset
Night Moves,Adaptive user-facing productivity
"Love of Siam, The (Rak haeng Siam)",Profound 3rd generation moderator
Ultraviolet,De-engineered non-volatile matrices
Convict 13,Centralized logistical approach
Becoming Chaz,Visionary encompassing complexity
Little Big Soldier (Da bing xiao jiang),Automated zero defect toolset
Fast Times at Ridgemont High,Innovative asymmetric toolset
"Star, The",Intuitive asymmetric firmware
Double Take,User-centric disintermediate alliance
Straight Shooting,Decentralized eco-centric firmware
Children of Dune,Optional exuding challenge
David Cross: The Pride Is Back,Multi-lateral content-based system engine
Penguin Pool Murder,Quality-focused object-oriented knowledge user
District 13: Ultimatum (Banlieue 13 - Ultimatum),Polarised secondary functionalities
Comme un chef,Quality-focused composite hierarchy
"Aerial, The (La antena)",Optional incremental encryption
Indiscreet,Innovative web-enabled middleware
"Eye, The (Gin gwai) (Jian gui)",Down-sized user-facing array
"Tale of Winter, A (a.k.a. A Winter's Tale) (Conte d'hiver)",Devolved asymmetric moderator
Crossroads,Fundamental bifurcated protocol
Christmas in July,Customer-focused national utilisation
Splinterheads,Seamless non-volatile framework
Mean Machine,Advanced 24 hour frame
My Last Day Without You (Nie mehr ohne Dich),Cross-platform clear-thinking circuit
Feast,Streamlined encompassing infrastructure
Pride,Synchronised cohesive core
I'm Here,Monitored mission-critical parallelism
"Punk Syndrome, The (Kovasikajuttu)",Ergonomic foreground data-warehouse
"Swimsuit Issue, The (Allt flyter)",Front-line value-added core
Ray,User-friendly foreground frame
13 Fighting Men,Multi-channelled bottom-line attitude
Fantastic Voyage,Object-based client-driven hardware
Mindhunters,Multi-channelled empowering architecture
Guess Who's Coming to Dinner,Robust content-based standardization
Frequently Asked Questions About Time Travel,Pre-emptive multimedia adapter
Paulette,Monitored value-added data-warehouse
"Dernier Combat, Le (Last Battle, The)",User-centric interactive hardware
Bad Dreams,User-centric secondary attitude
Kiss the Bride,Function-based foreground system engine
Holy Matrimony,Organized cohesive protocol
"Rundown, The",Public-key hybrid conglomeration
Tumbledown,Profound static implementation
Gideon's Army,Digitized leading edge complexity
Rapid Fire,Team-oriented incremental monitoring
Autopsy (Macchie Solari),Distributed 24 hour artificial intelligence
"Ugly, Dirty and Bad (Brutti sporchi e cattivi)",Object-based didactic hierarchy
24 Exposures,Focused high-level flexibility
"Attack, The",Future-proofed systematic leverage
Snow Cake,Cross-group optimal projection
"Soldier's Tale, A",Re-contextualized discrete infrastructure
When the Last Sword is Drawn (Mibu gishi den),Profound grid-enabled intranet
Yellow Submarine,Reverse-engineered bottom-line open architecture
Exam,Open-source clear-thinking installation
I'm Not Scared (Io non ho paura),Public-key leading edge strategy
"Price Above Rubies, A",Persistent uniform support
Wanted,Pre-emptive modular core
"Alphabet Killer, The",Monitored empowering software
Harper,Object-based stable encoding
When You're Strange,User-friendly user-facing extranet
"Nutty Professor, The",Up-sized attitude-oriented intranet
Contact,Reverse-engineered next generation customer loyalty
Lisbela e o Prisioneiro (Lisbela and the Prisoner),Adaptive next generation time-frame
Cinderella Liberty,Managed client-server website
Gagarin: First in Space,Organic homogeneous circuit
"Caine Mutiny, The",Multi-tiered 4th generation interface
Aashiqui 2,Distributed bottom-line data-warehouse
Girls! Girls! Girls!,Self-enabling cohesive encoding
Love Hina Again,Assimilated motivating firmware
"Family Tree, The",Quality-focused interactive benchmark
Why Not Me? (Pourquoi pas moi ?),Multi-layered systematic standardization
Charly,Fully-configurable demand-driven ability
Ben X,Robust user-facing flexibility
Jamie Marks Is Dead,Enterprise-wide incremental system engine
"Incredible Mr. Limpet, The",Reactive zero defect throughput
White Night Wedding (Brúðguminn),Diverse bottom-line website
Ready to Wear (Pret-A-Porter),Upgradable client-driven capacity
"Case of the Grinning Cat, The (Chats perchés)",Secured grid-enabled solution
Natural Selection,Adaptive web-enabled groupware
Following,Total transitional software
